Concurrency      Requests       Requests per second (mean)     Longest request      98 percentile 
50               10000          6572.84                        14                   26                             
100              10000          6482.61                        21                   37                             
500              10000          5854.68                        1256                 1476                           
1000             10000          5219.11                        1291                 1903                           
2000             10000          3544.32                        1928                 2788                           
5000             20000          2341.78                        4647                 8532                           
10000            30000          254.98                         113499               117636                         
15000            45000          373.85                         120357               118176


Concurrency      Requests       Requests per second (mean)     Longest request      98 percentile 
50               10000          6024.54                        23                   47                             
100              10000          6105.48                        46                   82                             
500              10000          6045.73                        189                  1122                           
1000             10000          5878.95                        1188                 1631                           
2000             10000          5097.18                        1544                 1953                           
5000             20000          4397.80                        3485                 4488                           
10000            30000          2004.56                        4904                 14854                          
15000            45000          531.30                         61117                61378                          


Concurrency      Requests       Requests per second (mean)     Longest request      98 percentile 
50               10000          6328.45                        24                   46                             
100              10000          6485.13                        75                   127                            
500              10000          6868.83                        187                  312                            
1000             10000          6097.15                        1109                 1361                           
2000             10000          6145.20                        1360                 1470                           
5000             20000          4409.91                        2056                 4453                           
10000            30000          3754.56                        3697                 7846                           
15000            45000          649.99                         52342                60882                         


Concurrency      Requests       Requests per second (mean)     Longest request      98 percentile 
50               10000          7988.35                        33                   70                             
100              10000          8496.35                        72                   131                            
500              10000          9024.46                        155                  330                            
1000             10000          8946.59                        280                  463                            
2000             10000          9152.04                        269                  475                            
5000             20000          6983.20                        1810                 2766                           
10000            30000          7678.39                        1612                 3532                           
15000            45000          652.75                         49267                57779                          


Concurrency      Requests       Requests per second (mean)     Longest request      98 percentile 
50               10000          8674.53                        30                   79                             
100              10000          9140.01                        63                   105                            
500              10000          8958.64                        195                  367                            
1000             10000          9969.15                        304                  513                            
2000             10000          10375.93                       420                  789                            
5000             20000          9075.79                        1467                 1953                           
10000            30000          5837.10                        2609                 4674                           
15000            45000          561.84                         56256                61444                          
